https://en.wikipedia.org/wiki/List_of_railway_stations_in_India
Bhalki 	BHLK 	Karnataka 	SCR 	
Bhalumaska 	BLMK 	Odisha 	ECoR 	
Bhanapur 	BNP 			
Bhandak 	BUX 	Maharashtra 		
Bhandara Road 	BRD 	Maharashtra 		
Bhandup 		Maharashtra 	CR/Central
Bhanga 	BXG 	Assam 	NFR/Northeast Frontier 	21 m 	[34]
Bhankoda 	BKD 			
Bharat Kup 	BTKP 			
Bharatkund 	BTKD 			
Bharatpur Junction 	BTE 	Rajasthan 		
Bharatwada 	BWRA 			
Bharthana 	BNT 	Uttar Pradesh 	NCR/North Central Railway 	135 m 	[35]
Bharuch Junction 	BH 	Gujarat 		
Bharwa Sumerpur 	BSZ 			
Bharwari 	BRE 			
Bhatel 	BHTL 			
Bhatgaon 	BOV 			
Bhatinda Junction 	BTI 	Punjab 		
Bhatiya 	BHV 			
Bhatkal 	BTKL 	Karnataka 		
Bhatni Junction 	BTT 	Uttar Pradesh 		
Bhaton Ki Gali 	BHG 			
Bhatpar Rani 	BHTR 			
Bhatpur 	BTPR 			
Bhattu 	BHT 	Haryana 		
Bhaunra 	BNVD 			
Bhavanagar Para 	BVP 	Gujarat 		
Bhavani Nagar 	BVNR 			
Bhavnagar Terminus 	BVC 	Gujarat 	
Bhawani Mandi 	BWM 	Rajasthan 		
Bhawanipatna 	BWIP 	Odisha 	East Coast 	
Bhawanipur Kalan 	BWP 			
Bhayandar 	BYR 	Maharashtra 	WR/Western
Bhayavadar 	BHY 	Gujarat 		
Bheempura 	BIPR 	Rajasthan 		
Bheerpur 	BEP 			
Bhemswadi 	BSWD 			
Bheraghat 	BRGT 	Madhya Pradesh 		
Bhesana 	BFY 			
Bhigwan 	BGVN 			
Bhilad 	BLD 	Gujarat 		
Bhilai Power House 	BPHB 	Chhattisgarh 		
Bhilainagar 	BQR 	Chhattisgarh 		
Bhilavdi 	BVQ 			
Bhildi 	BLDI 	Gujarat 		
Bhilwara 	BHL 	Rajasthan 		
Bhimal 	BIML 			
Bhimana 	BMN 			
Bhimarlai 	BMQ 			
Bhimasar 	BMSR 			
Bhimavaram Junction 	BVRM 	Andhra Pradesh 		
Bhimavaram Town 	BVRT 	Andhra Pradesh 		
Bhimnath 	BNH 			
Bhimsen 	BZM 	Uttar Pradesh 		
Bhind 	BIX 	Madhya Pradesh 		
Bhinwaliya 	BWA 			
Bhitaura 	BTO 			
Bhivpuri Road 		Maharashtra 	CR/Central
Bhiwandi 	BIRD 	Maharashtra 	CR/Central 	
Bhiwani 	BNW 	Haryana 		
Bhiwani City 	BNWC 	Haryana 		
Bhodwal Majri 	BDMJ 	Haryana 		
Bhogpur Sirwal 	BPRS 	Punjab 		
Bhojipura Junction 	BPR 	Uttar Pradesh 		
Bhojo 	BOJ 			
Bhojras 	BHAS 			
Bhojudih Junction 	BJE 	Jharkhand 	ECR/East Central Railway 	
Bhoke 	BOKE 			
Bhone 	BHNE 			
Bhongaon 	BGQ 	Uttar Pradesh 		
Bhongir 	BG 	Telangana 		
Bhopal Bairagarh 	BIH 	Madhya Pradesh 		
Bhopal Dewanganj 	DWN 	Madhya Pradesh 		
Bhopal Habibganj 	HBJ 	Madhya Pradesh 		
Bhopal Junction 	BPL 	Madhya Pradesh 		
Bhopal Mandideep 	BMND 	Madhya Pradesh 		
Bhopal Misrod 	BMSD 	Madhya Pradesh 		
Bhopal Nishatpura 	BNTP 	Madhya Pradesh 		
Bhubaneshwar 	BBS 	Odisha 	ECoR/ East Coast 	
Bhuj 	BHUJ 	Gujarat 		
Bhupalsagar 	BSJ 			
Bhupia Mau 	VPO 			
Bhusaval Junction 	BSL 	Maharashtra 		
Bhutakia Bhimsa 	BUBR 			
Bhusaval 	BSL 	Maharashtra 		
Bibinagar Junction 	BN 	Telangana 		
Bichia 	BIC 			
Bichpuri 	BCP 	Uttar Pradesh 		
Bidadi 	BID 	Karnataka 		
Bidanpur 	BDNP 			
Bidar 	BIDR 	Karnataka 		
Bidhan Nagar Road 	BNXR 	West Bengal 	ER/Eastern Railway 	
Bidupur 	BIU 	[Bihar] 		
Bidyadabri 	BDYR 	Assam 	NFR/Northeast Frontier 	31 m 	[36]
Bighapur 	BQP 			
Bihara 	BHZ 	Assam 	NFR/Northeast Frontier 	29 m 	[37]
